data,sklep,cena,nazwa,ld
02.02.2023 , AVANS , 519.99 , Dysk LACIE Rugged Mini 2TB HDD                    
02.02.2023 , AVANS , 369.85 , Dysk LACIE Rugged Mini 1TB HDD                    
02.02.2023 , AVANS , 759.0 , Dysk LACIE Rugged Mini 4TB HDD                    
02.02.2023 , AVANS , 399.0 , Dysk LACIE Mobile Drive 1TB HDD Srebrny                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Mobile Drive 5TB HDD                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Rugged 4TB HDD                    
02.02.2023 , AVANS , 738.29 , Dysk LACIE Mobile Drive 4TB HDD Szary                    
02.02.2023 , AVANS , 517.79 , Dysk LACIE Mobile Drive 2TB HDD Szary                    
02.02.2023 , AVANS , 845.14 , Dysk LACIE Mobile Drive 5TB HDD Szary                    
02.02.2023 , AVANS , 413.7 , Dysk LACIE Rugged 1TB HDD                    
02.02.2023 , AVANS , 259.0 , Dysk GOODRAM CX400 1TB SSD                    
02.02.2023 , AVANS , 389.0 , Dysk SAMSUNG 980 1TB SSD                    
02.02.2023 , AVANS , 459.0 , Dysk CRUCIAL X8 1TB SSD                    
02.02.2023 , AVANS , 219.0 , Dysk SEAGATE Expansion Portable 1TB HDD                    
02.02.2023 , AVANS , 195.69 , Dysk SEAGATE BarraCuda HDD 1TB                    
02.02.2023 , AVANS , 139.0 , Dysk GOODRAM CX400 G2 512GB SSD                    
02.02.2023 , AVANS , 216.97 , Dysk CRUCIAL MX500 500GB SSD                    
02.02.2023 , AVANS , 289.0 , Dysk SEAGATE Expansion Portable 2TB HDD                    
02.02.2023 , AVANS , 227.64 , Dysk SEAGATE BarraCuda 2TB HDD ST2000DM008                    
02.02.2023 , AVANS , 399.0 , Dysk CRUCIAL X6 Portable 1TB SSD                    
02.02.2023 , AVANS , 789.0 , Dysk SAMSUNG 990 Pro 1TB SSD                    
02.02.2023 , AVANS , 379.0 , Dysk CRUCIAL MX500 1TB SSD                    
